Program :		ZPR_BOM_EXPLOSION						Micron SemiAsiaOP Pte Ltd					Date :		01/11/2023
User    :		JIAJUNLEE							BOM Explosion Report				Time :		14:30:12
Page    :		1											Zone :		UTC+8

							This report is for Material:
						590-624661 MTFDKCC30T7TGH-1BC1ZABYY:M1AS SG37 MT-MOD530391


	Material		Material Description
	Object no.		Quantity	Un	Material Description					Reference Designator	Manufacturer Part No.	Mfg Name		Change No.

	590-624661		MTFDKCC30T7TGH-1BC1ZABYY:M1AS
	550-502905		  1.000	EA	PWB, 3440 C ARTWORK, U.3 4/P						3440-10-01-C	GULTECH		500025522337
	510-500719		  1.000	EA	RES, SM 0.0 OHM 0201 +/-5% 1/20W AS					R114	ERJU010R00C	PANASONIC		500025522337
	510-500866		  2.000	EA	RES, SM 0.0 OHM 0402 +/-50MOHM AS					R210,R240	ERJU020R00X	PANASONIC		500025522337
	510-500878		  1.000	EA	RES, SM 1 OHM 0201 +/-5% 1/20W AS					R101	ERJU01J1R0C	PANASONIC		500025522337
	510-500879		  2.000	EA	RES, SM 10 OHM 0201 +/-5% 1/20W AS					R267,R425	ERJU01J100C	PANASONIC		500025522337
	510-500881		 12.000	EA	RES, SM 240 OHM 0201 +/-1% 1/20W AS					R69,R91,R107,R112-R113,R120,R146,R214	ERJU01F2400C	PANASONIC		500025522337
										R225,R234,R247,R250
	510-500946		  1.000	EA	RES, SM 100K OHM 0402 +/-1% 1/16W AS					R202	ERJU02F1003X	PANASONIC		500025522337
	510-500951		  3.000	EA	RES, SM 10K OHM 0402 +/- 1% 1/16W AS					R204,R269-R270	ERJU02F1002X	PANASONIC		500025522337
	510-500955		  1.000	EA	RES, SM 4.02K OHM 0402 +/-1% 1/16W AS					R235	ERJU02F4021X	PANASONIC		500025522337
	510-500956		 18.000	EA	RES, SM 1K OHM 0402 +/-1% 1/16W AS					R53-R54,R62-R63,R96,R99,R115-R116	ERJU02F1001X	PANASONIC		500025522337
										R128-R129,R138-R139,R147-R148,R189-R190
										R196-R197
	510-500971		  1.000	EA	RES, SM 150K OHM 0402 +/-1% 1/16W AS					R77	ERJU02F1503X	PANASONIC		500025522337
	510-500980		 16.000	EA	RES, SM 1K OHM 0201 +/-1% 1/20W AS					R25,R34,R44,R60,R66,R149,R170,R177,R264	ERJU01F1001C	PANASONIC		500025522337
										R275,R285,R305,R349,R366-R368
	510-500983		  5.000	EA	RES, SM 100K OHM 0201 +/-1% 1/20W AS					R5,R27,R32,R40,R93	ERJU01F1003C	PANASONIC		500025522337
	510-500989		  1.000	EA	RES, SM 300K OHM 0201 +/-1% 1/20W AS					R20	ERJU01F3003C	PANASONIC		500025522337
